Car_Model|Horsepower|Time
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
Giulia Quadrifoglio|505|3.8
M4|503|3.8
M4|503|3.8
AMG C63|503|3.8
Vantage|503|3.5
Vantage|503|3.5
C63 AMG|503|3.8
Vantage|503|3.5
M4|503|3.8
Vantage|503|3.6
AMG C63|503|3.8
DB11|503|3.7
C 63 S Coupe|503|3.7
Vantage|503|3.5
Vantage|503|3.5
C 63 S Coupe|503|3.7
AMG C63|503|3.8
Vantage|503|3.5
C 63 S|503|3.7
Vantage|503|3.5
M4 Competition|503|3.9
AMG C 63|503|3.8
Vantage|503|3.5
Vantage|503|3.6
Vantage|503|3.5
C63 S Coupe|503|3.7
Vantage|503|3.6
AMG C 63 S|503|3.7
DB11|503|3.7
DB11|503|3.9
Vantage|503|3.5
Vantage|503|3.6
C63 S Coupe|503|3.7
Vantage|503|3.5
Vantage|503|3.6
Vantage|503|3.5
M4 Competition|503|3.8
C63 S AMG|503|3.9
M4|503|3.8
Vantage|503|3.5
Vantage|503|3.5
Vantage|503|3.5
C63 S|503|3.7
Vantage|503|3.6
Vantage|503|3.6
Griffith|500|3.8
Griffith|500|3.9
Corvette Stingray|495|2.9
Corvette Stingray|495|2.9
Corvette Stingray|495|2.9
Corvette|490|2.8
Corvette Stingray|490|2.8
Corvette Stingray|490|2.9
Corvette|490|2.8
Challenger|485|3.8
Taycan 4S|482|3.8
M4 Coupe|473|3.8
M4|473|3.8
Panamera GTS|473|3.9
M4|473|3.8
AMG C63|469|3.8
AMG C 63|469|3.9
AMG C 63|469|3.8
Taycan|469|3.8
C 63 AMG|469|3.9
Taycan|469|3.8
C63 AMG|469|3.9
AMG C 63|469|3.8
AMG C63|469|3.8
RS5|444|3.6
M2 CS|444|3.8
M2 CS|444|3.8
RS5|444|3.7
RS 5 Coupe|444|3.7
RS 5|444|3.5
RS 5|444|3.7
RS5|444|3.7
RS5 Coupe|444|3.7
M2 CS|444|3.8
RS 5|444|3.5
M2 CS|444|3.8
RS 5|444|3.5
RS 5|444|3.5
RS5 Coupe|444|3.5
RS 5|444|3.5
Taycan 4S|429|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.7
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Evora GT|416|3.8
Cayman GT4|414|3.8
RS 3|401|3.6
RS 3|401|3.5
