Car_Make|Horsepower|Price|Year
McLaren|671|225|2022
McLaren|671|225|2022
McLaren|671|225|2022
McLaren|671|225|2022
McLaren|671|225|2022
Bentley|626|225|2022
McLaren|671|225|2022
Ferrari|612|222,63|2022
Bentley|542|219,8|2022
Ferrari|591|218,75|2022
Lamborghini|641|218,009|2022
McLaren|612|215,5|2022
Bentley|626|214,425|2022
McLaren|620|213,195|2022
McLaren|620|211,3|2022
McLaren|612|210|2022
McLaren|612|210|2022
McLaren|620|208|2022
Porsche|640|208|2022
Bentley|542|207,825|2022
Bentley|542|207,825|2022
Aston Martin|630|207|2022
McLaren|562|204,55|2022
Aston Martin|503|204,1|2022
Bentley|626|203,825|2022
Bentley|542|202,5|2022
Aston Martin|630|201,495|2022
Pagani|764|2,800,000|2022
McLaren|562|198,95|2022
Porsche|620|187,7|2022
Porsche|750|185|2022
Porsche|750|185|2022
Audi|562|183,3|2022
Porsche|630|181,1|2022
Porsche|630|180,8|2022
Porsche|630|180|2022
Porsche|620|174,3|2022
Acura|573|159,495|2022
Acura|573|157,5|2022
Acura|573|157,5|2022
Acura|573|157,5|2022
Acura|573|157,5|2022
Acura|573|157,5|2022
Acura|573|157,5|2022
Aston Martin|503|152,995|2022
Maserati|454|150,98|2022
Maserati|454|150,98|2022
Aston Martin|503|149,995|2022
BMW|369|148,5|2022
BMW|369|147,5|2022
BMW|369|147,5|2022
Aston Martin|503|146|2022
Aston Martin|503|146|2022
Audi|562|142,7|2022
Audi|562|142,7|2022
Aston Martin|503|142,086|2022
Aston Martin|503|142,086|2022
Maserati|454|134,3|2022
Maserati|454|134,3|2022
Maserati|454|134,3|2022
Maserati|454|132,795|2022
BMW|617|130|2022
BMW|617|130|2022
TVR|500|123,5|2022
Audi|591|120|2022
Audi|591|117|2022
Audi|591|117|2022
Audi|591|117|2022
Audi|591|115,045|2022
Audi|591|115,045|2022
Audi|591|115,045|2022
Audi|591|115|2022
Audi|591|115|2022
Audi|591|115|2022
Audi|591|114|2022
Audi|591|114|2022
Audi|591|114|2022
Audi|591|114|2022
Audi|591|114|2022
Audi|591|114|2022
Audi|591|113|2022
Audi|591|110,045|2022
Audi|591|109|2022
Lotus|416|105|2022
Lotus|416|105|2022
Porsche|562|104|2022
BMW|600|104|2022
BMW|600|103,5|2022
BMW|600|103,5|2022
BMW|600|103,5|2022
BMW|600|103,5|2022
BMW|600|103,5|2022
BMW|617|103,5|2022
BMW|600|103,5|2022
Jaguar|575|103,2|2022
Jaguar|575|103,2|2022
Jaguar|575|103,2|2022
Jaguar|575|103,2|2022
Jaguar|575|103,2|2022
Jaguar|575|103,2|2022
Porsche|414|102,9|2022
Porsche|414|102,9|2022
Porsche|482|102,9|2022
Porsche|414|102,55|2022
Porsche|414|102,55|2022
Lexus|471|102,55|2022
Porsche|414|102,1|2022
Porsche|414|102,1|2022
Porsche|414|102|2022
Porsche|414|102|2022
Porsche|379|101,2|2022
Porsche|414|101,2|2022
Porsche|379|101,2|2022
Porsche|414|100,55|2022
Porsche|414|100,2|2022
Porsche|414|100,2|2022
W Motors|800|1,700,000|2022
W Motors|800|1,550,000|2022
